asset_id;name;latitude;longitude;country;production;firm
M0464;Adasa Coal Mine;21,347003;78,953545;India;0,715;Coal India Ltd [100.0%]
M0465;Adriyala Coal Mine;18,6648;79,579;India;1,7;The Singareni Collieries Co Ltd [100%]
M0466;AKK Coal Mine;23,7905;85,9198;India;5,35;Coal India Ltd [100.0%]
M0467;Amadand Coal Mine;23,157942;82,061533;India;3,32;Coal India Ltd [100.0%]
M0468;Amalgamated Keshalpur-West Mudidih (AKWMC) Coal Mine;23,8078;86,3221;India;3,14;Coal India Ltd [100.0%]
M0469;Amalgamated Yekona I and II Coal Mines;20,228333;78,9166666;India;2,77;Coal India Ltd [100.0%]
M0471;Amelia North Coal Mine;24,1346;82,4264;India;3,92;Jaiprakash Power Ventures Ltd [100%]
M0472;Amlai Coal Mine;23,167675;81,59593;India;1,73;Coal India Ltd [100.0%]
M0474;Amlohri Coal Mine;24,134;82,593;India;15;Coal India Ltd [100.0%]
M0475;Amrapali Coal Mine;23,889479;85,00171;India;22,59;Coal India Ltd [100.0%]
M0476;Ananta Coal Mine;20,943609;85,163715;India;19,3;Coal India Ltd [100.0%]
M0477;Ashoka Coal Mine;23,724268;85,037525;India;9,85;Coal India Ltd [100.0%]
M0478;Balaram Coal Mine;20,962009;85,178092;India;7,06;Coal India Ltd [100.0%]
M0479;Baroud Coal Mine;22,268463;83,345538;India;1,17;Coal India Ltd [100.0%]
M0481;Basundhara (West) Coal Mine;22,059284;83,7304;India;0,95;Coal India Ltd [100.0%]
M0483;Belpahar Coal Mine;21,75;83,8417;India;8,98;Coal India Ltd [100.0%]
M0484;Bharatpur Coal Mine;20,95753;85,128911;India;11,3;Coal India Ltd [100.0%]
M0485;Bhatadi Coal Mine;20,05738;79,267357;India;0,85;Coal India Ltd [100.0%]
M0486;Bhubaneswari Coal Mine;20,961693;85,160099;India;23,46;Coal India Ltd [100.0%]
M0487;Bijari Coal Mine;22,2471;83,382797;India;1,47;Coal India Ltd [100.0%]
M0488;Bina Coal Mine;24,1483;82,7476;India;10,5;Coal India Ltd [100.0%]
M0489;Block II (BOCP) Coal Mine;23,75722302;86,79445561;India;5,35;Coal India Ltd [100.0%]
M0490;Block-B Coal Mine;24,17502419;82,56028175;India;5,47;Coal India Ltd [100.0%]
M0493;Chhal Coal Mine;22,100202;83,110483;India;6,24;Coal India Ltd [100.0%]
M0494;Chirimiri Coal Mine;23,183958;82,336684;India;0,98;Coal India Ltd [100.0%]
M0495;Chitra East Coal Mine;24,119;86,8636;India;1,75;Coal India Ltd [100.0%]
M0496;Chotia Coal Mine;22,780896;82,476655;India;1;"Vedanta Ltd [51.0%]; Government of India [49.0%]"
M0508;Dabor Coal Mine;23,789723;86,915206;India;0,33;Coal India Ltd [100.0%]
M0513;Dipka Coal Mine;22,345077;82,544192;India;33,24;Coal India Ltd [100.0%]
